Id,Label,Weight,Category,city,latitude,longitude,scrape_time
10,Santa Barbara Museum of Art,1,venue,Santa Barbara,34.4234,-119.7039,2019-05-22T13:30:06.644506000
11,"CRG Gallery, New York",1,venue,New York,40.7222,-73.9923,2019-05-22T13:22:12.083333000
12,HISCOX London,1,venue,London,51.5145,-0.0822,2019-05-22T13:29:31.538430000
13,"Solomon R. Guggenheim Museum, New York",1,venue,New York,40.7830,-73.9589,2019-05-22T08:36:36.530603000
14,DIRIMART Istanbul °,1,venue,Istanbul,41.0504,28.9915,2019-05-22T07:36:05.409045000
94,Sao Paolo Biennial °,1,venue,Sao Paulo,-23.5505,-46.6333,2019-05-22T07:43:44.126595999
106,"National Museum of Mexican Art, Chicago",1,venue,Chicago,41.8562,-87.6730,2019-05-22T13:06:31.744709000
156,"Centre Pompidou, Paris",1,venue,Paris,48.8566,2.3522,2019-05-22T11:04:01.165910000
157,MCA Sydney,1,venue,Sydney,-33.8604,151.2091,2019-05-22T12:32:29.969988000
158,Monash University Museum of Art,1,venue,Clayton,-37.9147,145.1297,2019-05-22T00:39:14.807259000
167,Sammlung zeitgenössischer Kunst der Bundesrepublik Deutschland,1,venue,Bonn,50.7527,7.0917,2019-05-22T12:39:33.437497000
182,"Gallery Koyanagi, Tokyo °",1,venue,Tokyo,35.6721,139.7706,2019-05-22T09:22:12.715044999
205,Magnum Gallery,1,venue,Paris,48.8542,2.3343,2019-05-22T10:05:49.935530000
206,"Grinberg Gallery, Moscow .",1,venue,Moscow,55.7535,37.6641,2019-05-22T00:51:16.703223000
207,"DZ BANK Kunstsammlung, Frankfurt",1,venue,Frankfurt,50.1094,8.6606,2019-05-22T12:23:14.160641000
233,"Alejandra Von Hartz Gallery, Miami",1,venue,Miami,25.8021,-80.1994,2019-05-22T07:34:17.869546000
251,"Irish Museum of Modern Art, Dublin",1,venue,Dublin,53.3436,-6.3224,2019-05-22T13:16:15.144877000
252,"Galerie Bugdahn, Düsseldorf",1,venue,Dusseldorf,51.2269,6.7764,2019-05-22T08:46:49.043569000
253,"Rubicon Gallery, Dublin",1,venue,Dublin,53.3498,-6.2603,2019-05-22T09:06:37.658826000
461,Galerie der Stadt Sindelfingen,1,venue,Sindelfingen,48.7082,9.0042,2019-05-22T07:00:00.716681000
495,"TEA Tenerife Espacio de las Artes, Santa Cruz de Tenerife",1,venue,Santa Cruz de Tenerife,28.4639,-16.2507,2019-05-22T09:13:25.128700000
496,"Gallery Wendi Norris, San Francisco",1,venue,San Francisco,37.7873,-122.4016,2019-05-22T12:38:22.793647000
497,"Block Museum of Art, Evanston",1,venue,Evanston,42.0515,-87.6728,2019-05-22T14:11:38.648011000
498,"Museu Berardo, Lisbon °",1,venue,Lisbon,38.6970,-9.2069,2019-05-22T10:52:32.406345000
499,"Nora Eccles Harrison Museum, Logan",1,venue,Logan,41.7433,-111.8061,2019-05-22T12:44:39.716693000
500,"Museo de Arte Carrillo Gil, Mexico City",1,venue,Mexico City,19.3791,-99.1873,2019-05-22T09:32:49.601046999
533,Kunsthalle Mannheim,1,venue,Mannheim,49.4824,8.4748,2019-05-22T10:36:19.687790000
537,"Galerie IG BILDENDE KUNST, Wien",1,venue,Vienna,48.2003,16.3612,2019-05-22T14:08:54.106031000
574,"Morat-Institut, Freiburg",1,venue,Freiburg,47.9810,7.8253,2019-05-22T10:22:55.346270000
575,"Galerie Christian Roellin, St. Gallen",1,venue,Saint Gallen,47.4285,9.3783,2019-05-22T13:29:36.599478000
576,"Sammlung Deutsche Bank, Frankfurt",1,venue,Frankfurt,50.1109,8.6821,2019-05-22T12:45:16.948667000
577,"Kienzle Art Foundation, Berlin",1,venue,Berlin,52.5071,13.3206,2019-05-22T05:08:12.092125000
598,Badischer Kunstverein Karlsruhe,1,venue,Karlsruhe,49.0111,8.3997,2019-05-22T13:07:35.458637000
604,"National Gallery of Canada, Ottawa",1,venue,Ottawa,45.4297,-75.6990,2019-05-22T05:38:50.983844000
